cellid,time,type,Layer
5209,9.6,inh,0
4199,11.3,inh,0
4269,11.6,inh,0
4289,12.7,inh,0
4719,14.9,inh,0
5279,15.1,inh,0
4689,15.6,inh,0
4909,18.1,inh,0
5039,29.6,inh,0
4539,30.8,inh,0
4589,31.1,inh,0
4679,31.2,inh,0
5299,31.7,inh,0
4979,32.3,inh,0
4919,33.4,inh,0
4549,36.9,inh,0
4269,42.7,inh,0
4279,43.4,inh,0
5219,45.4,inh,0
4289,45.9,inh,0
4909,46.2,inh,0
4579,48.1,inh,0
4949,61.4,inh,0
4279,63.3,inh,0
4479,65.6,inh,0
5269,65.9,inh,0
4799,66.8,inh,0
4739,68.1,inh,0
4259,75.5,inh,0
4659,80.2,inh,0
5209,84.5,inh,0
5139,86.8,inh,0
4909,91.5,inh,0
5009,93.9,inh,0
4649,97.7,inh,0
4269,102.3,inh,0
4639,102.9,inh,0
4939,104.2,inh,0
4849,109.8,inh,0
4329,115.8,inh,0
5009,115.8,inh,0
4629,116.1,inh,0
4559,119.3,inh,0
4389,126.4,inh,0
5259,126.4,inh,0
5159,126.8,inh,0
4449,129.6,inh,0
4879,136.8,inh,0
4599,138.0,inh,0
4669,142.4,inh,0
5039,142.7,inh,0
4849,143.9,inh,0
4889,143.9,inh,0
4909,148.8,inh,0
4179,156.1,inh,0
4939,157.7,inh,0
4659,157.9,inh,0
4279,160.5,inh,0
4249,161.9,inh,0
4879,162.0,inh,0
4589,165.4,inh,0
4289,173.0,inh,0
5279,179.2,inh,0
4259,181.0,inh,0
4839,186.5,inh,0
4819,190.6,inh,0
4539,191.9,inh,0
5189,203.0,inh,0
4879,204.5,inh,0
5249,208.6,inh,0
4649,208.9,inh,0
4379,210.3,inh,0
5119,213.2,inh,0
5229,215.1,inh,0
4409,216.5,inh,0
4689,218.2,inh,0
4679,224.2,inh,0
4279,235.9,inh,0
4669,238.8,inh,0
4239,240.8,inh,0
4829,243.6,inh,0
4559,246.0,inh,0
4669,251.4,inh,0
4389,256.5,inh,0
4369,257.2,inh,0
4529,258.4,inh,0
4639,258.9,inh,0
4569,262.2,inh,0
4269,263.0,inh,0
4689,267.8,inh,0
4909,273.2,inh,0
5089,273.4,inh,0
5059,279.6,inh,0
4469,289.9,inh,0
4529,290.4,inh,0
4979,290.8,inh,0
4949,291.1,inh,0
4779,295.3,inh,0
4679,295.6,inh,0
4509,297.6,inh,0
5209,298.8,inh,0
4159,299.3,inh,0
4189,307.2,inh,0
4839,310.9,inh,0
5259,312.3,inh,0
4989,316.0,inh,0
4899,321.3,inh,0
4159,321.7,inh,0
4179,328.9,inh,0
4599,337.7,inh,0
5269,340.9,inh,0
5259,341.4,inh,0
4339,341.6,inh,0
4239,342.3,inh,0
4789,344.8,inh,0
5069,346.4,inh,0
5079,347.2,inh,0
5209,352.9,inh,0
4139,353.1,inh,0
4589,356.0,inh,0
4249,357.8,inh,0
4659,361.1,inh,0
4729,365.8,inh,0
4819,368.9,inh,0
4709,370.3,inh,0
4789,371.1,inh,0
4739,371.2,inh,0
4749,376.7,inh,0
4289,380.8,inh,0
4159,382.1,inh,0
5059,382.3,inh,0
4679,384.1,inh,0
4659,385.7,inh,0
4189,385.8,inh,0
4249,388.9,inh,0
4839,391.5,inh,0
5269,392.0,inh,0
4649,396.9,inh,0
4629,401.7,inh,0
4659,402.1,inh,0
4789,402.1,inh,0
4999,402.9,inh,0
4779,413.4,inh,0
4869,414.2,inh,0
4579,426.0,inh,0
4799,432.3,inh,0
4679,433.8,inh,0
4889,434.5,inh,0
4909,434.6,inh,0
4439,434.8,inh,0
5089,436.4,inh,0
5259,437.7,inh,0
4949,437.8,inh,0
4179,440.4,inh,0
5229,442.0,inh,0
4659,449.6,inh,0
4649,453.7,inh,0
4559,454.0,inh,0
4869,456.7,inh,0
4259,458.7,inh,0
4689,464.8,inh,0
4819,467.0,inh,0
